floe_id,scale,rotation,area,convex_area,major_axis_length,minor_axis_length,adr_area,adr_convex_area,adr_major_axis_length,adr_minor_axis_length,est_rotation,mismatch,recall,normalized_sd
2,1.0,-15.0,135.0,155.0,17.389689090388842,10.422136804026014,0.0,0.13793103448275862,0.006213367419895979,0.009077666966649205,0.0,0.0,12.762962962962963,0.23703703703703705
2,1.0,-12.0,135.0,149.0,17.29067831093265,10.34779628676018,0.0,0.09859154929577464,0.0005034681631636651,0.001919223735330862,0.0,0.0,12.822222222222223,0.17777777777777778
2,1.0,-9.0,135.0,153.0,17.250722695714412,10.425643767031614,0.0,0.125,0.0018100236557309054,0.009414094920610076,0.0,0.0,12.851851851851851,0.14814814814814814
2,1.0,-6.0,135.0,145.0,17.50136387702707,10.26818366495386,0.0,0.07142857142857142,0.012614584287823668,0.005804187298698536,0.0,0.0,12.911111111111111,0.08888888888888889
2,1.0,-3.0,135.0,135.0,17.281975195754296,10.327955589886445,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
2,1.0,0.0,135.0,135.0,17.281975195754296,10.327955589886445,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
2,1.0,3.0,135.0,135.0,17.281975195754296,10.327955589886445,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
2,1.0,6.0,135.0,145.0,17.50136387702707,10.26818366495386,0.0,0.07142857142857142,0.012614584287823668,0.005804187298698536,0.0,0.0,12.911111111111111,0.08888888888888889
2,1.0,9.0,135.0,153.0,17.250722695714412,10.425643767031614,0.0,0.125,0.0018100236557309054,0.009414094920610076,0.0,0.0,12.851851851851851,0.14814814814814814
2,1.0,12.0,135.0,149.0,17.29067831093265,10.34779628676018,0.0,0.09859154929577464,0.0005034681631636651,0.001919223735330862,0.0,0.0,12.822222222222223,0.17777777777777778
2,1.0,15.0,135.0,155.0,17.389689090388842,10.422136804026014,0.0,0.13793103448275862,0.006213367419895979,0.009077666966649205,0.0,0.0,12.762962962962963,0.23703703703703705
2,1.0,18.0,137.0,149.0,17.240000514943006,10.62746282921614,0.014705882352941176,0.09859154929577464,0.002431765850428026,0.028585183396449897,0.0,0.0,12.532846715328468,0.2773722627737226
2,1.0,21.0,135.0,147.0,17.33155632201411,10.336671857347623,0.0,0.0851063829787234,0.002864840661194095,0.0008435929932378164,0.0,0.0,12.703703703703704,0.2962962962962963
2,1.0,24.0,135.0,153.0,17.256079494714385,10.518675548134022,0.0,0.125,0.0014995460092925913,0.018297436836183893,0.0,0.0,12.674074074074074,0.32592592592592595
2,1.0,27.0,135.0,151.0,16.8963462636845,10.550520505533123,0.0,0.11188811188811189,0.02256570338174402,0.021320034530250623,0.0,0.0,12.644444444444444,0.35555555555555557
