area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
104,113.0,239.0,123.0,251.0,119.0,245.0,112.0,66.0,13.5,10.04,-1.11,37.56,39.86,0.0,0.08,0.87,0.86
77,117.0,168.0,125.0,179.0,121.0,173.0,83.0,69.0,11.49,8.8,1.45,31.56,32.6,0.0,0.07,0.91,0.92
507,120.0,185.0,141.0,213.0,130.0,199.0,526.0,70.0,29.73,22.0,-1.45,84.77,83.05,0.0,0.05,0.94,0.94
1232,120.0,286.0,154.0,331.0,137.0,309.0,1279.0,71.0,47.55,33.75,1.34,136.33,131.93,0.0,0.06,0.92,0.92
899,121.0,244.0,158.0,274.0,139.0,261.0,930.0,72.0,38.74,30.39,0.25,115.5,112.18,0.0,0.06,0.92,0.93
63,123.0,75.0,131.0,83.0,126.0,79.0,69.0,73.0,10.1,8.1,0.85,28.49,29.69,0.0,0.13,0.91,0.91
101,123.0,102.0,132.0,117.0,128.0,109.0,109.0,74.0,16.0,8.29,1.18,39.8,40.41,0.0,0.1,0.91,0.92
116,127.0,231.0,141.0,242.0,135.0,237.0,130.0,75.0,15.63,10.57,-0.57,43.56,43.98,0.0,0.07,0.94,0.94
167,128.0,335.0,139.0,354.0,133.0,346.0,186.0,76.0,21.56,10.96,1.57,54.14,54.01,0.0,0.08,0.93,0.93
115,129.0,173.0,144.0,183.0,136.0,178.0,125.0,77.0,17.08,8.71,0.43,41.8,42.31,0.0,0.07,0.94,0.94
108,132.0,86.0,145.0,95.0,138.0,90.0,114.0,78.0,14.35,9.77,0.07,37.56,38.29,0.0,0.11,0.86,0.87
251,134.0,99.0,151.0,118.0,142.0,109.0,278.0,79.0,22.73,14.65,1.11,62.87,62.29,0.0,0.07,0.93,0.94
318,144.0,224.0,173.0,238.0,157.0,231.0,335.0,80.0,30.08,13.86,-0.25,74.87,73.66,0.0,0.07,0.93,0.93
452,147.0,202.0,174.0,222.0,161.0,212.0,471.0,81.0,28.19,20.56,-0.02,79.94,78.47,0.0,0.06,0.94,0.94
410,148.0,277.0,175.0,299.0,161.0,289.0,434.0,82.0,28.79,18.69,0.48,79.25,77.82,0.0,0.07,0.94,0.94
503,149.0,89.0,172.0,117.0,160.0,104.0,530.0,83.0,31.05,21.07,0.92,88.18,86.28,0.0,0.07,0.92,0.93
223,149.0,131.0,168.0,152.0,158.0,142.0,243.0,84.0,26.82,10.83,0.96,64.18,63.53,0.0,0.06,0.93,0.94
62,155.0,304.0,165.0,310.0,160.0,307.0,65.0,86.0,11.25,7.09,-0.2,27.9,29.13,0.0,0.09,0.94,0.93
381,159.0,173.0,180.0,195.0,169.0,184.0,400.0,87.0,24.63,20.26,0.71,74.53,73.34,0.0,0.06,0.93,0.94
254,165.0,163.0,191.0,175.0,179.0,169.0,268.0,89.0,28.16,11.57,0.26,66.63,65.85,0.0,0.06,0.93,0.94
62,167.0,135.0,176.0,144.0,171.0,139.0,67.0,90.0,10.65,7.99,-0.87,28.97,30.15,0.0,0.08,0.94,0.93
513,168.0,113.0,197.0,137.0,183.0,125.0,533.0,91.0,30.41,21.72,0.51,85.5,83.74,0.0,0.07,0.94,0.94
53,168.0,343.0,175.0,350.0,171.0,346.0,56.0,92.0,8.68,7.92,0.28,25.07,26.45,0.0,0.08,0.93,0.93
51,169.0,258.0,175.0,267.0,172.0,263.0,54.0,93.0,10.21,6.49,1.13,25.69,27.24,0.0,0.14,0.91,0.9
67,174.0,331.0,181.0,341.0,177.0,336.0,72.0,95.0,10.38,8.22,-1.43,28.73,29.92,0.0,0.07,0.93,0.94
384,177.0,276.0,204.0,297.0,190.0,287.0,415.0,99.0,31.15,16.28,0.49,80.18,78.7,0.0,0.08,0.92,0.92
88,179.0,150.0,187.0,163.0,183.0,156.0,96.0,100.0,13.63,8.3,1.29,35.56,36.39,0.0,0.09,0.91,0.93
58,183.0,261.0,193.0,268.0,187.0,265.0,65.0,102.0,11.63,6.71,0.35,28.73,29.92,0.0,0.11,0.92,0.93
55,185.0,298.0,194.0,306.0,190.0,302.0,61.0,103.0,9.94,7.55,0.4,27.56,28.81,0.0,0.09,0.94,0.94
55,185.0,308.0,192.0,315.0,189.0,312.0,57.0,104.0,9.73,7.27,0.74,25.66,27.01,0.0,0.08,0.94,0.94
80,188.0,329.0,200.0,336.0,194.0,332.0,84.0,105.0,13.64,7.66,-0.15,33.31,34.26,0.0,0.09,0.91,0.92
86,189.0,251.0,198.0,261.0,193.0,256.0,92.0,106.0,11.89,9.3,0.82,32.9,34.26,0.02,0.13,0.84,0.85
53,193.0,165.0,201.0,172.0,196.0,168.0,60.0,107.0,9.51,7.61,0.03,26.49,27.79,0.0,0.09,0.88,0.9
362,193.0,197.0,213.0,222.0,201.0,211.0,390.0,108.0,27.03,17.96,1.2,75.01,73.8,0.0,0.07,0.9,0.91
