"area","col_centroid","convex_area","label","major_axis_length","max_col","max_row","min_col","min_row","minor_axis_length","orientation","perimeter","row_centroid","circularity","cloud_fraction","b1_reflectance_mean","b7_reflectance_mean","b2_reflectance_mean","b1_reflectance_bdry_mean","b1_bdry_contrast","b2_reflectance_bdry_mean","b2_bdry_contrast","candidate","solidity"
1276,209.9498432601881,1440.0,15,48.894896700456655,232,261,187,218,36.00292527184612,0.9236555993913895,164.61017305526642,238.56739811912226,0.5917621661356878,1.0,0.7653554,0.40646562,0.7504588,0.680314976015319,0.08504043217636192,0.680314976015319,0.0701438009355172,false,0.8861111111111111
289,203.03806228373702,294.0,16,23.070095774580246,211,219,196,197,16.398923444026458,-0.2783753659031132,66.62741699796952,207.8719723183391,0.8180912599588536,1.0,0.7611527,0.3048652,0.7456836,0.6881769245735783,0.07297576011498985,0.6881769245735783,0.057506685865722273,false,0.9829931972789115
312,220.13782051282053,319.0,18,28.1436885776208,234,183,210,164,14.972411151130812,1.0657787531048433,72.76955262170047,174.5352564102564,0.7403976781543302,1.0,0.7461179,0.36250687,0.7326185,0.6907438530967946,0.05537403678433939,0.6907438530967946,0.04187465762631937,false,0.9780564263322884
325,226.84923076923076,389.0,19,27.424314730767314,238,29,215,3,17.67977102678802,-0.7565489002298768,90.49747468305831,15.664615384615384,0.49867810914889926,1.0,0.7520265,0.42430198,0.7354589,0.6753926701570685,0.07663382816065001,0.6753926701570685,0.06006624030817198,false,0.8354755784061697
625,238.6304,728.0,20,46.47879802497162,256,68,219,32,19.180672549050346,0.7391874593852126,135.1959594928933,48.1776,0.429697133651664,1.0,0.7637831,0.41466072,0.7462083,0.6637972262075563,0.09998587105959456,0.6637972262075563,0.08241108391970198,false,0.8585164835164835
108,229.03703703703704,115.0,21,17.780969034154996,236,284,222,270,8.30631630443705,-0.7421554392824192,44.284271247461895,277.01851851851853,0.6920454459221247,1.0,0.7304643,0.24153957,0.71550447,0.643278431372549,0.08718584827909281,0.643278431372549,0.07222603611478617,false,0.9391304347826087
217,246.72811059907835,236.0,24,19.394315942614714,255,26,238,10,14.843780449861555,0.9806111756581272,64.90559159102153,18.37327188940092,0.6472996503868197,1.0,0.7443757,0.37014577,0.7235743,0.7082890918100089,0.036086613908985266,0.7082890918100089,0.015285188928821691,false,0.9194915254237288
4126,288.93940862821137,5825.0,26,149.71177129319545,338,332,243,209,52.86387988220668,0.5514709984145425,458.55844122715706,281.5402326708677,0.2465753752948758,1.0,0.74171245,0.34579694,0.73057663,0.6587965556593012,0.08291589532183896,0.6587965556593012,0.07178007874774228,false,0.7083261802575107
10468,314.22000382116926,15588.0,27,265.94200824252573,400,235,245,1,72.17664559846615,0.5598191382877119,830.8559518039654,103.8137179977073,0.19055577165910567,1.0,0.78222424,0.41789624,0.77191806,0.6461932812803913,0.13603095663846243,0.6461932812803913,0.1257247771149944,false,0.6715422119579163
323,325.8513931888545,341.0,28,25.82815674103334,335,399,317,374,16.830345384612656,-0.11415934541737666,74.5269119345812,387.58513931888547,0.7307791259573851,1.0,0.7501143,0.22292203,0.74163955,0.6292262015216182,0.12088812018706097,0.6292262015216182,0.1124133529789616,false,0.9472140762463344
1968,362.8302845528455,2141.0,29,75.92587665862914,399,400,326,355,33.99930274749042,1.0767843619126642,208.50966799187808,378.9242886178862,0.5688300938515709,1.0,0.73035324,0.2344037,0.7235027,0.6489410367887138,0.08141219940971145,0.6489410367887138,0.07456165877174148,false,0.919196637085474
765,346.9934640522876,826.0,30,47.1021319194037,365,359,330,321,21.589591405129568,0.7117517235632783,125.46803743153548,340.81307189542486,0.610667896906612,1.0,0.72366405,0.26098102,0.7175995,0.6437614889705887,0.07990255636327359,0.6437614889705887,0.0738380221759567,false,0.9261501210653753
239,346.4769874476987,242.0,31,28.610428604007616,361,400,333,389,11.570915453467967,1.51179106970898,68.04163056034261,395.9205020920502,0.64872157204656,1.0,0.75166345,0.22607294,0.7400954,0.6652941176470588,0.08636932877933279,0.6652941176470588,0.07480125932132498,false,0.987603305785124
3495,29.410872675250356,4680.0,2,125.152422072013,75,213,1,101,43.05493757465004,-0.5394682494631641,365.53405460951757,149.06695278969957,0.32870125067879036,1.0,0.91015357,0.46865374,0.90630865,0.881800554278634,0.02835301351235109,0.881800554278634,0.024508096691824965,false,0.7467948717948718
1161,14.391042204995694,1377.0,3,57.81158744395971,33,272,1,214,27.942441519682994,0.3367764642667453,183.53910524340094,242.05254091300603,0.4330966888163161,1.0,0.89286286,0.37894934,0.8869692,0.8859609318798077,0.006901924508284307,0.8859609318798077,0.0010082768375384576,false,0.8431372549019608
460,24.780434782608694,500.0,4,32.67930749937058,40,111,10,86,18.805803595837407,-0.9846020306378587,92.25483399593904,99.93478260869566,0.6791871056883155,1.0,0.91906023,0.44291386,0.91196775,0.926200093020978,-0.007139862765851102,0.926200093020978,-0.014232338656964383,false,0.92
123,29.642276422764226,148.0,5,20.368043997086378,36,293,21,278,9.458360533619272,-0.7147203602584158,54.04163056034261,286.2439024390244,0.5292466126057731,1.0,0.8853188,0.2249003,0.87722063,0.9260367694836218,-0.04071795377546139,0.9260367694836218,-0.04881613883786984,false,0.831081081081081
318,42.405660377358494,321.0,6,20.874605301277562,52,94,32,74,19.822664045943984,1.452536092156332,69.698484809835,84.17295597484276,0.822603039804254,1.0,0.91987926,0.478936,0.9179431,0.93172330515784,-0.01184404747885437,0.93172330515784,-0.013780185155093383,false,0.9906542056074766
176,46.46022727272727,182.0,7,18.115579772303427,55,34,38,20,12.999000473688884,1.3392852117900202,55.45584412271571,26.727272727272727,0.71916392038862,1.0,0.9346487,0.5114304,0.9344482,0.9439733145166456,-0.009324621908765929,0.9439733145166456,-0.009525131933790343,false,0.967032967032967
